consensus,rounds
7.105778,4118
8.214496,4264
8.519094,4180
10.753293,4136
7.015620,3878
10.165854,4673
10.389268,4429
9.250580,3976
8.897275,4578
10.292750,4432
7.684886,4443
10.350710,4666
8.434438,4005
8.022191,4255
9.474978,4572
6.766388,4193
8.517335,4597
8.703241,4069
8.915983,4558
8.563509,4272
9.025892,4458
8.732775,4250
9.642176,4082
9.502774,4874
9.834026,4330
9.369425,4698
8.728070,4257
8.348706,4455
8.157361,5164
10.061534,4714
7.543165,4680
5.846061,4457
9.345557,4760
8.565754,4307
8.136714,4499
8.064762,4458
9.547867,4220
8.964401,4316
7.720051,4331
6.923722,4150
7.779154,4497
11.123643,4359
9.606197,4382
7.794625,4331
7.581925,4303
8.976176,4327
8.321905,4420
8.659096,4254
6.134290,4351
9.192667,4569
9.618688,4598
8.527196,4590
6.978421,4425
8.546617,4173
8.829037,4350
8.098915,4137
10.308531,4086
8.954273,4357
11.679515,4619
10.600228,4229
10.475392,4554
9.905390,4730
5.410851,4454
10.604605,4470
7.834551,4638
8.357224,4097
10.923674,4456
9.306227,4344
8.764168,4628
8.898421,4396
9.033568,4654
8.828562,4451
8.440095,4715
9.119120,4060
8.145855,4625
8.224379,4636
7.299672,4191
7.794671,4215
8.757575,3884
8.477293,4388
6.556048,4571
8.720646,4097
10.521098,4852
9.895301,4307
8.361993,4472
5.298248,4783
8.487708,4319
9.781002,4091
9.601936,4246
7.360838,5063
7.414519,4281
8.161142,4264
8.977396,4329
8.591206,4599
9.979228,3955
9.459508,4967
8.039941,4462
8.141432,4596
8.667413,4033
9.120665,4550
9.154405,4116
9.349432,3966
10.225132,4257
8.835784,4077
8.182646,4513
8.662686,4150
8.299580,4412
11.452041,5194
8.881607,4718
9.386882,4344
9.094126,4109
9.139419,4696
9.451161,4548
9.942227,4856
9.397391,4118
8.741869,4703
8.854843,4627
8.497273,4791
8.420535,4022
7.567754,4585
8.424546,4547
8.847746,4109
7.192719,4069
7.257748,4206
10.245565,4713
8.972020,4673
8.450092,4626
7.331705,4100
7.539910,4724
8.495021,4541
10.711442,4656
8.825123,4158
9.108867,4207
11.545518,4737
9.434402,4424
7.000171,4523
10.782810,4275
7.693787,4143
9.696595,4613
9.335939,4004
10.519802,4443
9.632499,4082
10.157951,4574
9.962640,4539
7.363095,4319
9.820293,4525
8.576331,4176
7.847874,4504
7.451488,4106
6.085301,4310
9.655216,4196
8.338366,4378
9.058456,4264
8.954200,4367
8.268152,4241
11.175305,4350
7.249692,4521
8.830270,4579
10.711193,4201
9.778818,4812
6.489388,4142
10.135851,4539
8.696593,5243
9.089912,4197
7.972221,3937
10.343397,4724
8.907281,4306
9.046444,4432
8.460853,4293
8.665732,4564
9.701408,4546
9.239064,4415
7.829638,4094
9.982997,4465
7.679532,4007
12.378509,4527
8.154758,4817
8.591944,4326
8.013390,4195
7.241617,4255
8.986986,4476
