consensus,rounds
1.990000,3928
1.990000,3567
1.990000,3666
1.990000,3658
1.990000,3774
1.990000,4808
1.990000,3617
1.990000,4023
1.990000,4388
1.990000,3538
1.990000,4187
1.990000,3992
1.990000,3118
1.990000,4183
1.990000,3471
1.990000,3654
1.990000,4060
1.990000,4029
1.990000,3744
1.990000,3978
1.990000,3973
1.990000,4242
1.990000,3937
1.990000,3693
1.990000,3979
1.990000,3993
1.990000,4267
1.990000,4076
1.990000,4546
1.990000,4077
1.990000,4182
1.990000,3615
1.990000,4296
1.990000,3768
1.990000,3845
1.990000,4021
1.990000,4082
1.990000,4042
1.990000,4446
1.990000,3589
1.990000,3766
1.990000,4360
1.990000,3461
1.990000,3899
1.990000,4037
1.990000,3719
1.990000,4152
1.990000,4145
1.990000,3808
1.990000,3764
1.990000,3618
1.990000,3868
1.990000,3783
1.990000,4247
1.990000,5444
1.990000,3518
1.990000,4426
1.990000,4047
1.990000,3731
1.990000,4293
1.990000,3993
1.990000,4178
1.990000,3393
1.990000,3694
1.990000,4143
1.990000,3848
1.990000,3867
1.990000,3933
1.990000,3825
1.990000,3515
1.990000,4298
1.990000,3625
1.990000,3945
1.990000,4397
1.990000,3812
1.990000,3794
1.990000,3967
1.990000,4478
1.990000,3971
1.990000,3738
1.990000,3474
1.990000,3241
1.990000,4071
1.990000,3758
1.990000,3881
1.990000,3743
1.990000,3875
1.990000,3916
1.990000,3765
1.990000,3647
1.990000,3847
1.990000,4213
1.990000,3861
1.990000,4183
1.990000,3688
1.990000,3644
1.990000,4191
1.990000,4075
1.990000,4220
1.990000,4034
1.990000,4130
1.990000,3535
1.990000,3771
1.990000,3845
1.990000,3790
1.990000,3749
1.990000,3579
1.990000,3440
1.990000,3884
1.990000,3637
1.990000,3998
1.990000,4228
1.990000,3976
1.990000,3240
1.990000,3903
1.990000,3553
1.990000,3701
1.990000,3878
1.990000,4132
1.990000,4350
1.990000,4471
1.990000,3535
1.990000,3463
1.990000,3849
1.990000,3934
1.990000,3988
1.990000,3677
1.990000,4106
1.990000,4015
1.990000,3668
1.990000,3717
1.990000,4540
1.990000,4098
1.990000,3787
1.990000,3789
1.990000,4233
1.990000,3591
1.990000,3709
1.990000,3653
1.990000,3909
1.990000,3752
1.990000,3654
1.990000,3638
1.990000,4225
1.990000,3910
1.990000,3410
1.990000,3640
1.990000,3948
1.990000,3788
1.990000,4221
1.990000,3849
1.990000,3906
1.990000,3544
1.990000,3655
1.990000,3988
1.990000,3780
1.990000,4069
1.990000,3831
1.990000,3947
1.990000,3695
1.990000,3840
1.990000,4002
1.990000,4593
1.990000,3973
1.990000,4051
1.990000,3704
1.990000,4090
1.990000,3670
1.990000,3639
1.990000,4028
1.990000,4043
1.990000,3974
1.990000,4051
1.990000,3963
1.990000,3668
1.990000,3971
1.990000,3767
1.990000,3632
1.990000,4047
1.990000,3772
1.990000,4367
1.990000,4100
1.990000,4242
1.990000,3649
1.990000,3383
1.990000,4063
1.990000,3961
1.990000,3843
1.990000,4074
1.990000,4018
1.990000,4208
1.990000,4058
1.990000,3853
1.990000,3827
1.990000,4593
1.990000,3866
1.990000,3862
1.990000,3831
1.990000,3654
1.990000,3893
1.990000,3849
1.990000,4089
1.990000,3566
1.990000,3811
1.990000,3786
1.990000,4021
1.990000,3695
1.990000,4180
1.990000,3780
1.990000,3590
1.990000,3871
1.990000,4015
1.990000,3786
1.990000,3501
1.990000,3984
1.990000,3587
1.990000,3817
1.990000,4634
1.990000,3919
1.990000,3999
1.990000,4377
1.990000,3892
1.990000,3673
1.990000,4027
1.990000,3612
1.990000,3838
1.990000,3725
1.990000,4091
1.990000,3480
1.990000,3959
1.990000,3724
1.990000,3532
1.990000,4143
1.990000,3958
1.990000,4385
1.990000,3620
1.990000,4353
1.990000,3877
1.990000,3840
1.990000,4105
1.990000,3900
1.990000,3798
1.990000,3937
1.990000,3763
1.990000,3878
1.990000,3691
1.990000,3972
1.990000,3877
1.990000,3335
1.990000,3791
1.990000,3587
