consensus,rounds
1.989996,5421
1.989997,4738
1.989996,4854
1.989997,5263
1.989996,4616
1.989996,5667
1.989999,4576
1.989996,4866
1.989996,5426
1.989996,5134
1.989996,5729
1.989997,4928
1.989996,7546
1.989997,4627
1.989996,4672
1.989996,4922
1.989996,5049
1.989996,5929
1.989996,5567
1.989996,5968
1.989995,4468
1.989996,6252
1.989996,5826
1.989996,5393
1.989991,4672
1.989996,5864
1.989996,5305
1.989996,4860
1.989996,4686
1.989996,4919
1.990000,4091
1.989996,5023
1.989996,5533
1.989996,4767
1.989974,4311
1.989996,7461
1.989996,5338
1.989997,4609
1.989996,4613
1.990023,4317
1.989996,5153
1.989999,4718
1.989996,4888
1.989996,5636
1.989996,5090
1.989996,5611
1.989971,4861
1.989996,4816
1.989996,4890
1.989996,5041
1.989996,4931
1.989996,5323
1.989996,4629
1.989996,5045
1.989996,5670
1.989996,5147
1.989996,4937
1.989996,4882
1.989996,5217
1.989996,5323
1.989993,4550
1.989996,4716
1.989996,5383
1.989996,4927
1.989996,5265
1.989996,4345
1.989993,4397
1.989996,4683
1.989996,5003
1.989996,5353
1.989996,5167
1.989996,5581
1.989996,4699
1.989996,5204
1.989996,4989
1.989996,5807
1.989996,5987
1.989996,5434
1.989996,5137
1.989996,5517
1.989942,4804
1.989996,4875
1.989999,4302
1.989996,6052
1.989996,6067
1.990018,4731
1.990007,4604
1.989996,5765
1.989996,4971
1.989997,4828
1.989996,6121
1.990005,4601
1.989996,5297
1.989996,5664
1.989996,5265
1.989996,5269
1.989996,6165
1.989996,5604
1.989996,6045
1.989997,4771
1.989996,5435
1.990003,4168
1.989996,5415
1.990004,4708
1.989996,4856
1.989997,4873
1.989996,5294
1.989996,5444
1.989996,5465
1.989996,6446
1.989996,4987
1.989997,4437
1.989996,5477
1.989996,5248
1.989996,5875
1.989996,5256
1.990007,4449
1.989996,4909
1.989996,5551
1.989996,4882
1.989996,4978
1.989997,4905
1.989996,4882
1.989996,5045
1.989996,5344
1.989996,5207
1.989996,5644
1.989996,5267
1.989997,4945
1.989996,5096
1.990007,4518
1.989996,5504
1.989996,4821
1.989996,4732
1.989997,5185
1.989996,4821
1.989996,6173
1.989996,4962
1.989996,5852
1.989996,4841
1.989996,5160
1.989996,5712
1.989996,5363
1.989996,5438
1.989997,4731
1.989996,5018
1.989996,5901
1.989996,4866
1.989996,4855
1.989997,4707
1.989978,4409
1.990001,4655
1.989996,5425
1.989996,5603
1.989996,5386
1.989996,5044
1.989996,5270
1.989996,5761
1.989997,4993
1.989996,5314
1.989996,6183
1.989996,4659
1.989996,5403
1.989996,6353
1.989996,6466
1.989996,5522
1.989996,5254
1.990002,4306
1.989996,5133
1.989996,5776
1.989996,5069
1.989996,5443
1.989996,6328
1.989996,5239
1.990001,4555
1.989997,5045
1.989996,6390
1.989996,5272
1.989996,4892
1.989996,4606
1.989996,5655
1.990012,4414
1.989996,5462
1.989996,4953
1.989997,5156
1.989993,4456
1.989996,5014
1.989971,4608
1.989996,4635
1.989996,4780
1.989996,5362
1.989941,4962
1.989996,4946
1.989996,4784
1.989996,4637
1.989996,4828
1.989996,5824
1.989996,6207
1.989996,5251
1.989996,5205
1.989996,5107
1.990002,4484
1.989996,4871
1.989996,4691
1.989967,4497
1.989996,5684
1.989991,4404
1.989996,5174
1.990007,4440
1.989996,5781
1.989996,5611
1.989996,5646
1.989996,6268
1.989995,4723
1.989991,4600
1.989996,5073
1.989996,5394
1.989996,5076
1.989996,5145
1.989996,5150
1.989952,4312
1.989996,5336
1.989996,5022
1.990010,4554
1.989996,4657
1.989996,5225
1.989996,5375
1.989996,4724
1.989996,4900
1.989996,5061
1.989996,4844
1.989996,6251
1.989994,4348
1.989996,5062
1.990006,4660
1.989996,5348
1.989986,4620
1.989996,5291
1.989996,5163
1.989996,4949
1.989997,4524
1.989996,5406
1.989996,4943
1.989996,5722
1.989985,4490
1.989943,5000
1.989996,4884
1.989996,5665
1.989996,6284
1.990031,4707
1.990061,4990
1.989996,5126
1.989996,5081
1.989996,5664
1.989996,5102
1.989996,6198
1.989959,4697
1.989996,4851
1.989996,5683
1.989996,5207
1.989996,5586
1.989974,4512
1.989997,4354
1.989996,5089
1.989996,4669
1.989996,5769
1.989988,4677
1.989996,4947
1.989996,4978
1.990012,4555
1.989989,4541
1.989996,5252
1.989996,5225
1.989996,5042
1.989996,5043
1.989997,4794
1.989996,5069
1.989977,4682
1.989996,6686
1.989982,4176
1.989996,5783
1.989982,4383
1.989997,5079
1.989996,5316
1.989996,5619
1.989996,4876
1.989996,5007
1.989996,5074
1.989996,5529
1.989996,5652
1.989996,5908
1.989996,5205
1.989996,5251
1.989985,4355
1.989996,5463
1.989996,5366
1.989996,4768
1.989996,4889
1.989996,4706
1.989971,4799
1.990005,4644
1.989996,5312
1.989996,5197
1.989996,5315
1.989996,5224
1.989996,5357
1.989996,5313
1.989996,5941
1.990004,4215
1.989996,6242
1.989996,4985
1.989996,4830
1.989977,4339
1.989996,5269
1.989996,4799
1.990009,4313
1.989996,4980
1.989996,5828
1.989996,5163
1.990005,4379
1.989996,5621
1.989996,4916
1.989996,5868
1.989991,4284
1.989996,4945
1.989996,4912
1.989996,4781
1.989996,4622
1.989996,5173
1.990039,4971
1.989996,4795
1.989996,5743
1.989996,4781
1.990002,4036
1.989996,4900
1.989996,5354
