consensus,rounds
2.375593,11208
2.202938,12287
2.764586,7835
2.191005,11646
2.472701,11105
2.086003,14864
2.274232,13256
2.137964,9088
2.103228,13198
2.033279,12390
2.071199,11654
2.268927,12664
2.467748,11967
2.123061,10624
2.485501,13883
2.038837,11951
2.139294,11570
2.474286,11267
2.310997,11301
2.081366,11022
2.062420,11777
2.015579,12263
2.138224,8970
3.149523,12078
2.031711,11096
2.278285,13020
2.021133,12590
2.512189,9744
2.126138,11846
2.721078,12370
2.352797,10285
2.310092,11019
2.115937,11873
2.209705,11002
3.042152,15770
2.270075,11354
2.487087,12845
2.936497,14369
2.739150,13710
2.016716,12949
2.524197,11218
2.181171,11314
2.049171,11658
3.409412,12724
2.111047,11922
3.058675,12682
2.405879,11749
2.107589,10077
2.016951,10730
2.033119,11031
2.016044,13151
2.100668,10475
2.084274,12511
2.585960,11627
2.902034,11281
2.044061,11564
2.149892,13961
2.288140,12474
2.100822,13219
2.194079,12389
2.684869,11403
2.016461,11682
2.438572,12654
2.700426,12057
2.364512,9985
2.809209,14825
2.449044,10943
2.155290,11817
2.780465,12677
2.119485,10706
2.212879,11941
2.063016,12046
2.433497,10913
2.627449,12339
2.297182,13780
2.011479,13018
2.283148,11899
2.384760,12877
2.308519,14710
2.366127,11351
2.082083,13113
2.145742,11904
2.759621,12274
2.170526,11506
2.152698,11243
2.534972,13708
2.508310,12213
2.202569,11734
2.244535,10240
2.088868,12069
2.037340,11547
2.118146,11922
2.441887,12821
2.230840,11617
2.227634,11124
2.423630,12223
2.496067,11083
2.084757,8039
2.421841,11151
2.741368,12519
2.252514,13244
2.135503,12323
2.676510,11420
2.207867,12855
2.314331,13945
2.362551,11495
2.243492,11078
2.001289,12420
2.616557,10100
2.536038,11173
2.126610,9692
2.477604,14916
3.085815,12133
2.499626,12468
2.131231,11675
2.185544,13055
2.576781,10974
2.061745,11599
2.085535,8498
2.386940,13530
2.028424,10193
2.229526,10677
2.238626,11978
2.508238,11836
2.485914,12020
2.429958,11011
2.139181,13353
2.274876,12467
2.652387,11594
2.015719,11315
2.426454,12979
2.158721,12289
2.076537,11552
2.024283,10916
2.587860,12620
2.050579,8205
2.804810,11779
2.306235,12845
2.148528,11081
2.111253,13399
2.402556,11098
2.064522,11060
2.445724,12415
2.104196,11476
2.096041,9470
2.468280,12849
2.318440,12705
2.609339,11807
2.138575,12423
2.174973,11268
2.186004,12056
2.204481,12153
2.056095,12550
2.775468,11127
2.375972,8915
2.097460,12365
2.020948,9701
2.642741,13056
3.420942,13332
2.025638,8771
2.779352,12619
2.846049,12694
2.660933,15177
2.404831,12809
2.094515,9130
2.249260,10718
2.101718,12701
2.896969,14000
2.351663,12251
2.165271,9224
2.508974,12235
2.182658,12788
2.061864,8109
2.242256,12001
2.293766,13176
2.343059,11432
2.546133,11343
2.293147,11178
2.216219,9845
2.595614,12593
2.315865,11808
2.410175,12367
2.163132,11149
2.285663,12498
2.242863,11885
2.046552,14384
2.487635,13458
2.153216,11763
2.758463,11242
2.479454,10540
2.127594,13107
3.035965,10112
2.375539,13699
2.429251,11581
2.591503,14005
2.502560,13055
2.460884,12290
2.042632,11976
2.242923,10338
3.025649,16005
2.451069,15281
2.016276,8782
2.265320,12181
2.673155,13262
2.384183,7630
2.423488,11103
2.866969,8059
2.019778,9616
2.182421,11744
3.164262,10508
2.688259,10683
2.277670,12608
2.894383,10917
3.618704,12470
2.385546,11644
2.048642,12705
2.205598,12537
2.046642,12593
2.078562,11007
3.000259,11284
2.745296,12409
2.242040,11050
2.296808,12158
2.039105,13655
2.410175,11998
2.265087,12482
2.190472,11818
2.080741,9212
2.424955,13480
2.080783,14314
2.169048,10880
2.173128,12889
2.080822,12918
2.307776,10556
2.623016,12546
2.195522,7621
2.130094,9450
2.329148,13576
3.155995,13220
2.039262,9112
2.280194,15426
2.687898,13161
2.490926,12071
3.060596,12683
2.210189,15298
2.554859,12977
2.144239,12036
2.763321,12065
2.225585,13772
2.661514,12411
2.017433,11103
2.582081,11874
2.212937,12560
2.150405,12298
2.733466,17148
2.126182,9045
2.436989,11746
2.785051,12283
2.933008,6184
2.375674,11664
2.290019,12494
2.095363,13680
3.203296,12253
2.270553,11172
2.132177,13165
2.790968,15100
3.184033,13419
2.385901,12125
2.187755,11292
2.028610,11645
2.154159,9357
2.188671,10655
2.433276,12725
2.275410,11446
2.105828,10583
2.033027,9499
2.587676,15699
3.100136,12774
2.113095,11706
2.145324,11736
2.397516,13046
2.307475,8705
2.628500,11562
2.024817,15258
2.031359,11312
2.172310,14575
2.048085,11763
2.086092,12702
2.104695,10822
2.769990,12109
3.055409,13648
3.194701,12821
2.062099,9051
2.083124,12145
2.124417,14841
2.591550,10340
2.318573,11612
2.010367,11021
2.276454,10542
2.857650,10961
2.253566,11210
2.120350,10470
2.378463,12534
2.049111,12208
2.617520,10736
2.569458,12276
3.099700,14023
2.668082,11357
2.371952,10899
2.235702,10216
2.305865,10265
2.284465,12740
2.157739,13425
3.328606,11821
2.143976,11601
2.212040,11151
2.061036,10923
2.166747,12049
2.128496,12757
2.411621,12320
2.331372,12197
2.495083,11905
2.401547,13449
2.507364,11189
2.056302,10946
2.016855,14304
2.369468,10781
2.154932,11659
2.439352,12776
2.561441,10629
2.068227,10104
2.111875,11496
2.304088,11383
2.552538,11940
2.241847,12197
2.132144,10753
2.527282,10270
2.093634,11109
2.229629,11690
2.375982,13501
2.197646,10786
2.258844,10614
2.134637,11592
2.636823,11578
2.530303,12713
2.114010,13162
2.239038,9845
2.303581,14632
2.517877,13103
2.069443,13047
2.315138,12306
2.047179,8511
2.589272,13327
2.054382,12551
2.064774,12353
2.314620,12562
2.170981,11465
2.276886,13548
2.013342,12595
2.056432,13708
2.319183,10209
2.572810,12078
2.200578,12949
2.231083,12219
2.090936,10176
3.184133,11062
2.143975,9841
2.190461,12351
2.784696,12381
2.338940,12405
2.038238,12899
2.646915,11843
2.512809,12729
2.332878,12549
2.081025,8990
2.111581,13606
2.479671,11214
2.289669,8603
2.292668,12243
2.385797,11832
2.455443,12233
2.120971,11832
2.373956,10363
2.055250,12831
2.299351,11793
2.451759,11206
2.211974,10991
2.053759,11058
2.072438,10412
2.140033,11976
2.147049,12447
2.370902,12110
2.256672,10992
2.090462,10430
2.127729,12129
2.716749,11995
2.062755,12946
2.389922,12120
2.106740,11344
2.616491,9932
2.119706,12199
2.935619,13073
2.095637,15728
2.572908,8308
2.437225,11648
2.919098,13043
2.875103,13719
2.268025,15649
2.485845,11617
2.253613,10367
2.216787,12009
2.286992,10058
2.461264,14928
2.977512,13797
2.961656,11938
2.210072,12230
2.097797,12410
2.351535,12504
2.154223,9905
2.492030,12009
2.551087,13535
3.033236,10870
2.165884,10930
2.063281,10587
2.967433,10913
3.230558,11676
2.733285,12860
2.658318,8057
2.268081,11962
2.317699,11158
2.090663,13879
2.309873,11072
2.537665,11554
2.047895,10113
2.325591,13804
2.409857,14789
3.229871,13778
2.313814,12987
2.820885,12016
2.219072,16745
2.123312,12060
2.247979,11165
2.208222,10054
2.350362,10791
2.492908,11908
2.456577,12993
2.612909,12661
2.960265,11803
2.147814,11168
2.151959,12621
2.550137,8858
2.233276,12240
2.034467,11829
2.085285,10698
2.045474,10295
2.055443,10800
2.242330,11500
2.401597,11204
2.346992,11843
2.177538,10001
2.037320,10853
2.559397,10692
2.122022,10076
2.663748,11542
2.167656,12640
2.096435,9030
2.018877,10295
2.331352,12602
2.262840,13356
2.099552,11800
2.324148,13066
2.147561,13838
2.781659,12563
2.603124,11137
2.048020,11429
2.096909,10563
2.516665,11994
2.772709,12653
2.340128,9523
2.114649,12910
2.108655,9973
2.251954,14454
2.655656,9883
2.049850,7848
2.230732,12841
2.505210,10206
2.337460,11673
2.032324,9963
2.242156,11746
2.520552,12287
2.625473,12716
2.442622,13642
2.058589,11691
2.708773,10300
2.020031,16371
2.916988,11653
2.287915,13421
2.711778,12325
2.548208,10915
2.457173,12684
2.110941,8064
2.578661,12840
2.050252,12840
3.468141,9414
2.911201,15073
2.683299,12983
2.271448,12634
2.265386,11694
2.167795,13133
2.700041,14837
2.096871,15779
2.969929,12594
2.059373,7772
2.108323,10374
3.136895,13617
2.481615,15331
2.991077,10865
2.377413,10410
3.797867,12587
2.745104,12259
2.053178,11963
2.300684,10393
2.667838,11670
2.140525,12333
2.141007,12729
2.127927,11786
2.198787,11087
3.457958,12827
2.334967,12880
2.306137,13259
2.081040,13174
2.166597,9633
2.155337,13909
2.247355,13848
2.215569,12861
2.719880,11842
2.715020,11730
2.856533,12242
2.312132,11827
2.130219,12971
2.451003,14787
2.150883,12142
2.611096,11355
2.280776,12167
2.130268,14804
2.528883,12684
2.138116,9765
2.380530,11532
2.120953,12943
2.118970,12506
2.038105,12056
2.378442,11910
2.404321,12327
2.808400,11992
2.016756,14796
2.115753,12496
2.326814,11220
3.687109,9593
2.607412,14797
2.024903,11642
2.407927,11508
2.746762,15349
2.112356,12326
2.054883,12809
2.657632,10131
2.721260,11804
2.578833,10371
2.493546,11990
2.593102,13092
2.081316,13846
2.170621,13948
2.044912,13182
2.634067,12633
3.034139,14929
2.253454,13050
2.103964,11604
2.410829,12157
2.036845,11520
2.077655,10235
2.430457,14972
2.171112,12078
2.057569,11022
2.455938,12802
2.043404,11710
2.278713,13437
3.564823,11345
2.290967,11856
2.243054,10023
2.302176,14886
2.364004,11449
2.642579,12000
2.030767,7983
2.583832,11515
2.050791,9058
2.400028,12473
2.437855,12251
2.262226,14442
2.220889,10356
2.030776,10189
3.439479,10415
2.121341,12151
2.093742,11933
2.317171,12855
2.304660,12845
2.505388,13262
2.474821,10033
2.029593,12476
2.137013,13449
2.362855,11398
2.027105,12768
2.161466,10946
2.013315,12005
2.276378,12588
2.436423,12342
2.033274,10777
2.498631,11154
2.636002,10744
2.480989,13632
2.051775,9442
2.051600,10674
2.288308,11475
2.289845,11465
3.092669,14213
2.745152,13014
2.490154,11519
2.258288,13383
2.577184,11547
2.553182,10367
2.075403,12477
2.171037,13280
2.881719,13412
2.321788,10730
2.500621,9878
2.187086,12149
2.399275,13229
2.057399,14516
2.318266,12023
2.378436,13162
2.067780,8892
2.703222,14747
2.421923,10557
