consensus,rounds
2.000000,8375
2.000000,7429
2.000000,7408
1.999999,7215
2.000000,8063
1.999999,8283
2.000000,8026
2.000000,7110
1.999999,8200
1.999999,6820
2.000000,8003
2.000000,7825
2.000001,9345
2.000000,7699
2.000000,7891
2.000000,7724
2.000000,7119
1.999999,6854
2.000000,6487
2.000000,6782
2.000000,7853
2.000000,7958
2.000000,8634
1.999999,7783
2.000000,7469
2.000000,6344
1.999999,8123
2.000000,7504
2.000000,7181
2.000000,7951
2.000000,7881
1.999999,9066
2.000000,6909
2.000000,8560
1.999999,8130
2.000000,8716
1.999999,7625
2.000000,6724
2.000000,7554
2.000001,8113
1.999999,8883
1.999999,9204
1.999999,8307
2.000000,7471
1.999999,7120
1.999999,6900
2.000000,7924
1.999999,6801
2.000000,7162
2.000000,8615
1.999999,11075
2.000000,6821
2.000000,9526
2.000000,7841
2.000000,7688
1.999999,10189
1.999999,10488
1.999999,8725
2.000000,6079
2.000000,7362
2.000000,7836
2.000001,7740
2.000000,6834
2.000000,7391
2.000000,7132
2.000000,7349
1.999999,7253
2.000000,6418
1.999996,8157
2.000000,7854
2.000000,5944
1.999999,7482
2.000000,8122
1.999999,8128
2.000000,7172
2.000000,7962
2.000000,7133
2.000000,6892
1.999999,7859
1.999999,8416
2.000000,7211
1.999999,8574
2.000000,7909
2.000000,7481
2.000000,7618
1.999999,8962
1.999999,8574
2.000000,7032
2.000000,7407
2.000000,7903
2.000000,6447
1.999999,8061
1.999999,9808
1.999999,9790
2.000000,6547
2.000000,7016
2.000000,6828
2.000000,7701
2.000000,6371
2.000000,8844
2.000000,6739
2.000000,7059
1.999999,8532
2.000000,7497
2.000000,8274
1.999999,8372
2.000000,7871
2.000000,8769
1.999999,8451
2.000000,5439
2.000000,6969
2.000000,6358
2.000000,7604
1.999998,8432
1.999999,8560
1.999999,8282
1.999999,10060
2.000000,6542
1.999999,7307
2.000000,6790
1.999999,7658
1.999999,9600
2.000000,8174
1.999999,7374
1.999998,8828
2.000000,6680
2.000002,9432
2.000000,7354
2.000001,9092
1.999999,7590
2.000000,7726
2.000000,8367
2.000000,7257
1.999999,6751
1.999999,8648
1.999999,8275
1.999999,7521
2.000000,8364
1.999999,7539
1.999999,7008
1.999999,8132
2.000000,7227
2.000000,7296
2.000000,8238
1.999998,8431
1.999999,9974
2.000000,8777
2.000000,7282
2.000000,8596
2.000000,7140
2.000000,7325
1.999999,8428
2.000000,7791
1.999999,8358
2.000000,7070
1.999999,6156
2.000001,8595
2.000001,7710
2.000000,6485
2.000000,8270
2.000000,7548
1.999999,7546
2.000000,6527
2.000000,8014
1.999999,7712
2.000001,9378
1.999999,7799
2.000000,6922
2.000000,8173
2.000000,6845
2.000000,7935
1.999999,10163
2.000000,7660
2.000000,6658
2.000000,6399
1.999999,6735
1.999999,7502
2.000002,8960
2.000000,7140
2.000000,7082
2.000000,7732
2.000000,7387
2.000002,9213
2.000000,6974
2.000000,8565
2.000000,8367
2.000000,8037
1.999999,9291
1.999999,6951
2.000000,8361
1.999999,9769
1.999999,7025
2.000000,7619
2.000000,7688
1.999999,7192
1.999999,8381
2.000000,7520
1.999999,7699
1.999999,8718
1.999999,10806
1.999999,9120
2.000000,8047
1.999999,6621
2.000000,9295
1.999999,9926
2.000000,6364
1.999998,9190
1.999999,7450
2.000000,6579
2.000000,7063
1.999999,8512
2.000000,7350
2.000000,7888
2.000000,9076
1.999999,6664
1.999999,7593
2.000000,6125
2.000000,7608
2.000000,6969
2.000000,8119
2.000000,7000
2.000000,6788
1.999999,10053
2.000000,7640
1.999999,7441
2.000000,8850
2.000000,7292
1.999999,7874
2.000000,7434
1.999999,8958
1.999999,7931
1.999999,9285
1.999999,8368
2.000000,7494
2.000000,6811
1.999999,8870
2.000000,8485
2.000000,8944
2.000000,6357
1.999999,10006
2.000000,8588
1.999999,7612
2.000001,9159
2.000000,8008
1.999999,9924
1.999999,7713
1.999999,9816
2.000000,8711
2.000000,6497
2.000001,8659
2.000000,6808
2.000000,8828
1.999999,7795
2.000000,8723
2.000000,7867
1.999999,8181
1.999999,7911
2.000001,8422
2.000000,7733
1.999999,8473
2.000000,7196
1.999999,7290
2.000000,8089
2.000000,8031
2.000000,7634
2.000000,7725
1.999999,9635
2.000000,8416
2.000000,5821
1.999999,7929
2.000001,8833
2.000000,7829
2.000000,7793
1.999999,6758
1.999999,8722
1.999996,8042
1.999999,8450
2.000000,5663
1.999999,7594
2.000001,8562
2.000000,7697
1.999999,7602
2.000000,8065
2.000000,8167
2.000000,6877
1.999999,8444
2.000000,5652
2.000000,7017
2.000000,7122
1.999999,9519
2.000000,8262
2.000000,7634
2.000000,7029
2.000000,7449
1.999998,7848
1.999999,8531
2.000000,7359
2.000000,7091
1.999999,7577
2.000000,6827
2.000000,7490
2.000000,8293
2.000001,8457
2.000000,8017
2.000000,8447
1.999999,10557
1.999998,7705
2.000000,6357
2.000000,6491
1.999999,7529
1.999999,8090
2.000000,6107
1.999999,7228
1.999999,6542
2.000000,6603
2.000000,7111
1.999999,7846
1.999999,6996
2.000000,8449
1.999999,8704
1.999999,10217
2.000000,7350
1.999999,7230
1.999999,10359
2.000000,7221
2.000000,7616
1.999999,6710
2.000002,8346
2.000000,7202
2.000000,7620
2.000000,7688
2.000000,7814
2.000000,7510
2.000000,7949
1.999999,7497
2.000000,7519
2.000000,6645
2.000000,8647
2.000000,7224
2.000000,7603
1.999999,9799
2.000000,7766
2.000000,6435
1.999999,9167
2.000001,8149
1.999999,7485
1.999999,8589
2.000000,7784
2.000000,8312
1.999999,8017
2.000000,7549
2.000000,6393
1.999999,7645
1.999999,8453
2.000000,6965
2.000000,7906
2.000002,9040
2.000000,6537
1.999999,6829
1.999999,7013
2.000000,7834
2.000000,7123
1.999999,8265
2.000000,7137
2.000000,7544
1.999999,8212
2.000000,7806
1.999999,6791
2.000000,7947
2.000000,8510
2.000000,6706
2.000000,7533
2.000002,8839
2.000000,7860
2.000001,8312
2.000000,7092
2.000000,5959
2.000000,8350
2.000000,6972
2.000000,7146
2.000000,6263
2.000000,6708
1.999998,8711
2.000000,8194
2.000000,8197
2.000000,6750
1.999999,7983
1.999999,7313
2.000000,8497
1.999999,8185
2.000000,8114
2.000000,6922
2.000000,8294
2.000000,7250
1.999999,8884
1.999999,6843
1.999999,9112
1.999999,8273
2.000000,7280
2.000000,8405
1.999998,9461
2.000000,8514
2.000000,7832
2.000000,8903
1.999999,7860
2.000000,8340
2.000000,7297
1.999999,8147
2.000000,6294
2.000000,7830
2.000000,8673
1.999999,8196
1.999998,8972
2.000000,6747
2.000001,7586
2.000000,6445
2.000000,6926
2.000002,9084
1.999998,8459
2.000000,7374
2.000000,7879
1.999999,9008
1.999999,9908
2.000000,8349
1.999999,8011
1.999999,8527
2.000000,7227
1.999999,9578
1.999999,9819
1.999999,9371
2.000000,8191
2.000000,8317
1.999999,8014
2.000001,8683
2.000000,7596
2.000000,7427
1.999996,8814
2.000000,7275
1.999999,7502
1.999999,8126
