consensus,rounds
2.010203,11741
2.010203,11531
2.010203,9600
2.010203,9666
2.010203,11451
2.010202,10927
2.010203,10500
2.010203,14113
2.010203,12479
2.010203,10471
2.010203,11539
2.010203,12154
2.010203,11882
2.010203,11232
2.010203,11960
2.010203,11182
2.010203,9952
2.010202,15719
2.010203,10651
2.010203,7685
2.010203,10990
2.010203,10138
2.010203,11485
2.010203,12135
2.010203,10902
2.010203,11759
2.010203,11383
2.010203,10552
2.010203,10194
2.010203,9809
2.010203,13176
2.010205,8749
2.010203,12275
2.010203,11126
2.010203,11971
2.010203,11450
2.010203,11619
2.010203,10772
2.010203,9916
2.010203,11426
2.010203,12646
2.010203,11854
2.010203,11080
2.010203,12103
2.010203,11700
2.010203,10453
2.010203,13853
2.010203,13805
2.010204,13631
2.010203,10619
2.010203,11622
2.010203,11625
2.010203,10835
2.010203,13495
2.010203,12425
2.010203,10687
2.010203,10661
2.010203,12070
2.010203,10832
2.010203,13135
2.010203,13408
2.010203,13313
2.010203,11347
2.010203,10486
2.010203,14766
2.010203,10488
2.010203,12050
2.010203,10213
2.010203,9999
2.010203,11747
2.010203,11499
2.010206,8872
2.010203,12711
2.010203,12981
2.010203,11331
2.010203,12400
2.010203,11614
2.010203,10159
2.010203,10994
2.010203,10576
2.010203,10945
2.010203,11597
2.010203,10166
2.010203,11360
2.010204,13841
2.010203,12198
2.010203,11361
2.010205,9391
2.010203,12303
2.010203,11184
2.010202,14347
2.010203,12127
2.010203,9175
2.010203,13212
2.010203,10036
2.010203,11654
2.010204,8951
2.010203,9008
2.010203,9866
2.010203,12598
2.010203,11617
2.010203,10631
2.010203,13149
2.010203,11949
2.010203,12149
2.010203,11809
2.010204,13368
2.010203,12158
2.010203,10101
2.010203,11923
2.010203,12884
2.010203,11175
2.010203,10194
2.010203,12414
2.010203,12428
2.010203,11190
2.010203,12410
2.010203,11685
2.010203,9859
2.010204,12747
2.010203,10726
2.010203,9991
2.010203,9220
2.010203,10867
2.010203,10093
2.010203,11967
2.010203,7071
2.010202,13483
2.010203,12748
2.010203,12015
2.010203,11149
2.010203,11144
2.010203,12460
2.010203,10031
2.010203,12111
2.010203,10426
2.010203,12196
2.010203,10167
2.010203,15245
2.010203,11674
2.010203,11817
2.010203,11932
2.010203,12704
2.010203,10184
2.010204,12190
2.010203,12574
2.010203,10432
2.010203,9999
2.010203,11710
2.010203,12163
2.010203,10466
2.010203,10834
2.010203,14812
2.010203,11084
2.010202,8400
2.010203,11448
2.010203,10983
2.010203,12017
2.010203,11693
2.010203,11504
2.010203,12806
2.010203,11341
2.010203,11419
2.010203,10926
2.010204,12757
2.010203,12709
2.010203,10503
2.010203,9767
2.010203,12953
2.010203,10054
2.010204,14238
2.010203,11956
2.010203,10553
2.010203,11971
2.010203,10679
2.010203,12069
2.010203,11866
2.010202,12980
2.010203,11684
2.010203,13413
2.010203,10946
2.010203,10350
2.010203,10808
2.010203,12790
2.010203,11749
2.010203,11871
2.010203,9944
2.010203,11777
2.010203,12450
2.010203,12168
2.010203,10754
2.010203,10572
2.010203,12052
2.010203,11502
2.010203,10797
2.010203,9897
2.010203,9212
2.010203,10418
2.010203,9622
2.010203,8403
2.010203,11873
2.010203,12113
2.010203,12365
2.010202,13831
2.010203,11257
2.010203,9819
2.010203,13686
2.010203,12214
2.010203,10203
2.010203,11576
2.010203,13010
2.010203,13445
2.010203,11732
2.010203,12389
2.010203,9741
2.010203,10860
2.010202,15686
2.010202,7102
2.010203,9506
2.010203,10079
2.010203,11177
2.010203,12246
2.010203,10220
2.010203,12267
2.010203,13867
2.010203,13159
2.010203,11610
2.010206,9320
2.010203,12592
2.010203,12946
2.010203,10655
2.010203,10488
2.010203,11469
2.010203,11752
2.010203,10053
2.010203,11420
2.010203,11713
2.010203,12816
2.010203,11601
2.010203,10734
2.010204,12628
2.010202,14061
2.010203,11700
2.010203,13467
2.010203,11239
2.010203,9892
2.010203,11692
2.010203,10226
2.010203,10376
2.010203,12716
2.010203,12368
2.010203,12732
2.010204,13568
2.010203,11260
2.010203,10414
2.010203,12100
2.010203,10413
2.010203,11548
2.010203,11599
2.010204,11320
2.010203,11705
2.010203,12256
2.010203,10953
2.010203,11957
2.010203,11900
2.010206,9284
2.010203,12836
2.010203,11437
2.010203,12928
2.010203,12313
2.010201,13516
2.010203,10261
2.010203,11996
2.010203,10069
2.010203,11900
2.010202,13074
2.010203,11953
2.010203,12045
2.010203,15045
2.010203,9736
2.010203,11333
2.010203,12196
2.010203,11221
2.010203,13425
2.010203,10881
2.010203,13405
2.010203,12819
2.010203,12023
2.010203,9800
2.010203,12284
2.010203,10171
2.010203,10413
2.010203,11670
2.010202,11208
2.010203,11184
2.010203,11336
2.010203,11684
2.010203,10821
2.010203,11394
2.010203,13930
2.010203,12584
2.010203,10469
2.010203,10084
2.010203,13102
2.010203,10989
2.010203,11271
2.010203,11954
2.010203,12403
2.010203,12068
2.010203,11096
2.010202,11108
2.010203,12387
2.010204,12622
2.010203,11756
2.010203,12055
2.010203,12353
2.010203,10978
2.010204,8478
2.010203,11101
2.010203,12475
2.010203,10659
2.010203,9879
2.010202,11059
2.010203,11592
2.010203,11970
2.010203,10669
2.010203,13411
2.010203,12779
