consensus,rounds
1.144025,2897793
1.139767,3028690
1.129583,2849783
1.137157,2943884
1.171153,3005336
1.133992,2923048
1.185142,3131328
1.160162,2990668
1.128317,2786344
1.132674,2824294
1.153693,2935078
1.158949,2679669
1.131062,2540826
1.145757,3010687
1.139218,2869415
1.138064,2861823
1.126562,2874283
1.137379,2866827
1.148134,3045771
1.137596,2803168
1.130175,2786355
1.128736,2892964
1.142898,3132341
1.150069,2766099
1.156351,2743954
1.169127,3031630
1.136066,2831511
1.140697,2848678
1.156074,2917067
1.171316,3181230
1.127880,2876960
1.127972,3036489
1.138311,2861900
1.133561,2906304
1.127975,2824405
1.161749,3192539
1.135849,2988023
1.140642,2934285
1.127667,2853458
1.189205,3116922
1.127845,2836705
1.134928,2863580
1.134169,2757102
1.128300,2694409
1.201729,3068451
1.129117,2764219
1.126290,2896988
1.139181,2861882
1.179533,3030384
1.131314,2856882
1.128157,2931167
1.129673,3014140
1.169407,3023576
1.128687,2963805
1.134709,2956769
1.164255,2962665
1.129920,3116379
1.152549,3162121
1.194570,2955193
1.143468,2758829
1.133260,2796974
1.145730,2991183
1.128534,2885466
1.130922,2844431
1.170305,2922282
1.132126,2918143
1.129419,2788014
1.193483,2932867
1.138925,2692040
1.155246,3189020
1.140254,2966329
1.213214,3024182
1.206489,3233460
1.153840,2947994
1.134170,2864434
1.141740,2896663
1.127505,2780402
1.127640,3009189
1.127932,2888203
1.159316,3030927
1.128040,2943555
1.186838,3072023
1.124257,2808715
1.144629,2850665
1.134274,2953593
1.129925,2835791
1.158302,2945463
1.151618,2939302
1.143920,2800419
1.128828,2818024
1.220433,3081240
1.133314,3068528
1.132029,2824295
1.139644,2974019
1.129767,2856723
1.174966,3015694
1.162523,2862478
1.134507,2982736
1.148573,2757136
1.128685,2706896
1.134225,3085545
1.174459,3160229
1.146547,3044704
1.242717,3029780
1.237982,2974456
1.128310,2807468
1.139337,2864071
1.128850,3026312
1.159916,2849058
1.133031,2989970
1.132076,3050762
1.128104,2795817
1.129440,2954666
1.178848,3215330
1.130395,2986393
1.137266,2738888
1.130068,3028654
1.155820,2692913
1.128644,2950337
1.133049,2912674
1.127823,2792759
1.126491,2795335
1.128173,2734550
1.152521,2901467
1.134459,3007747
1.128838,2923145
1.128607,2904120
1.138592,3126355
1.130098,2957127
1.127537,2919880
1.181525,3180815
1.133052,2795231
1.128756,2854230
1.132946,2924141
1.131960,2930646
1.130933,2854200
1.179448,3018499
1.136546,2964383
1.141982,2923449
1.142876,2933055
1.151673,3042176
1.157310,3027087
1.131700,2941639
1.230461,3063643
1.160118,2901729
1.129427,3015335
1.129792,2927333
1.160736,3038251
1.129181,2733098
1.128536,2841270
1.128910,3076980
1.176849,2896446
1.144369,2888582
1.153696,2893012
1.136712,2683536
1.128080,2861005
1.182901,3041310
1.220181,3056917
1.129161,2792271
1.167592,2925211
1.129308,2771253
1.132389,2735534
1.129591,2895858
1.194411,3087910
1.141441,2163867
1.130220,2930071
1.129729,3118334
1.130842,2853014
1.130887,2749774
1.162133,2949404
1.127877,2895532
1.195339,3107428
1.128069,2760229
1.141852,2858317
1.140955,2797456
1.128537,2949847
1.130987,2764781
1.163643,3055913
1.127491,2641471
1.126284,2824620
1.127882,2750997
1.137236,2888083
1.131113,2795094
1.130173,2871189
1.131615,2845505
1.161672,2942623
1.133049,2799489
1.217895,3241980
1.142993,3005701
1.138377,2939668
1.194053,2899201
1.154689,3022097
1.177589,2931399
1.130429,2828015
1.128184,3048402
1.128172,2786903
1.130912,2834786
1.125812,2858908
1.133013,2776023
1.130055,2788850
1.127662,2638192
1.129103,2743547
1.165308,3210307
1.127583,2780045
1.129677,2797658
1.206871,2979342
1.194531,3028774
1.135893,2944479
1.144085,2962552
1.136811,2862003
1.128352,2674956
1.178047,3403053
1.139330,2785987
1.145177,2979378
1.127956,2720349
1.128563,3363973
1.184809,2895078
1.135349,2753281
1.136997,2797119
1.134254,2761434
1.129448,2891689
1.129393,2833927
1.128548,2856531
1.135092,2909901
1.162764,2906893
1.135937,2784542
1.192109,2886152
1.198634,3190237
1.141446,3123956
1.183088,3172008
1.162864,3120145
1.129120,2699767
1.127972,2846671
1.135404,2800296
1.127875,2961211
1.183124,3217984
1.180400,3057223
1.145936,3026274
1.138618,2882192
1.182860,3115779
1.161915,2879613
1.131130,2779211
1.143867,2863738
1.128266,3071554
1.136287,3113061
1.128276,2871989
1.129870,2984515
1.143080,2904225
1.141918,2787498
1.128601,2818621
