consensus,rounds
1.127724,3199871
1.127717,3436384
1.127725,2767535
1.127724,2966229
1.127724,2919915
1.127722,3154460
1.127724,2898763
1.127726,2720839
1.127724,2953978
1.127724,2945785
1.127724,2921026
1.127724,2886565
1.127725,2837016
1.127723,3169879
1.127725,2807303
1.127723,2980166
1.127724,2864656
1.127724,3051853
1.127724,2890045
1.127724,2945937
1.127725,2681305
1.127724,2998548
1.127725,2843315
1.127724,2892900
1.127725,2731296
1.127725,2741931
1.127725,2741156
1.127723,2455097
1.127725,2840455
1.127723,2949099
1.127725,2846633
1.127725,2821404
1.127724,2839285
1.127725,2870163
1.127725,2735283
1.127726,2844049
1.127725,2854126
1.127724,3033436
1.127723,2984781
1.127724,2767494
1.127727,2718822
1.127723,3045174
1.127723,3002195
1.127726,2736533
1.127724,2819901
1.127726,2628898
1.127724,2875369
1.127724,2837989
1.127725,2793611
1.127724,2913072
1.127725,2884021
1.127724,2881056
1.127725,2825207
1.127724,2960148
1.127726,2715006
1.127723,3021724
1.127724,2895301
1.127724,2975375
1.127724,2881122
1.127723,2977998
1.127725,2832683
1.127727,2662013
1.127725,2757126
1.127724,2900650
1.127724,2943988
1.127724,2832532
1.127726,2735266
1.127726,2729471
1.127720,2998670
1.127723,3023635
1.127724,2759180
1.127725,2863243
1.127724,2840899
1.127724,2900382
1.127724,3002814
1.127723,2958342
1.127726,2606799
1.127723,3074694
1.127724,2828192
1.127724,2822781
1.127724,2947034
1.127725,2922254
1.127724,2932446
1.127724,2941988
1.127726,2633131
1.127725,2785975
1.127727,2645894
1.127726,2736543
1.127725,2754343
1.127724,2858886
1.127723,2971407
1.127724,2873995
1.127730,2106620
1.127725,2819001
1.127725,2808601
1.127724,3019457
1.127725,2843215
1.127724,2880073
1.127722,3122850
1.127723,3069516
1.127723,3089240
1.127725,2723157
1.127724,2926713
1.127726,2569091
1.127725,2704232
1.127726,2761113
1.127723,3109922
1.127724,2904453
1.127723,3124524
1.127724,2923268
1.127723,2985184
1.127724,2830111
1.127724,2871258
1.127724,2823897
1.127723,2930025
1.127725,2810132
1.127724,2702842
1.127725,2811772
1.127725,2725318
1.127723,2982182
1.127724,2966749
1.127725,2897923
1.127722,2525058
1.127725,2853948
1.127723,3008168
1.127727,2524915
1.127725,2743387
1.127724,2933711
1.127724,2868301
1.127726,2751984
1.127723,3091956
1.127725,2763362
1.127724,2864124
1.127725,2848485
1.127722,3032204
1.127724,2844425
1.127724,2889701
1.127724,2751397
1.127724,3127820
1.127723,3082516
1.127725,2924983
1.127723,3108340
1.127724,2710750
1.127724,2966919
1.127723,2973931
1.127724,2842208
1.127724,2870050
1.127724,2975995
1.127723,3056991
1.127725,2972891
1.127724,2892367
1.127724,2900650
1.127723,2979809
1.127723,2982566
1.127724,2846598
1.127724,2979860
1.127724,2885707
1.127724,2678518
1.127724,2763373
1.127723,2933399
1.127725,2762586
1.127723,3067887
1.127724,2808906
1.127725,2719464
1.127724,2972251
1.127723,3056152
1.127725,2824333
1.127718,3231034
1.127724,2856381
1.127724,2726418
1.127725,2731838
1.127724,2848835
1.127724,2855819
1.127724,2971927
1.127724,2843758
1.127724,2748874
1.127727,2540231
1.127725,2769721
1.127723,2851539
1.127725,2801527
1.127725,2857622
1.127723,2924212
1.127722,3070666
1.127724,2893692
1.127724,2872593
1.127727,2668570
1.127725,2787677
1.127724,2922272
1.127724,2912210
1.127725,2762992
1.127727,2573366
1.127725,2826575
1.127724,2948513
1.127726,2606173
1.127725,2857960
1.127725,2888798
1.127725,2774237
1.127725,2815437
1.127725,2725732
1.127725,2819553
1.127725,2829353
1.127724,3059317
1.127723,3111031
1.127723,2973200
1.127724,2889136
1.127723,2980731
1.127726,2840425
1.127724,2975748
1.127723,3028581
1.127725,2763952
1.127725,2817385
1.127725,2753427
1.127725,2831827
1.127725,2737488
1.127724,2979281
1.127723,3009915
1.127728,2270183
1.127725,2667484
1.127724,2869260
1.127724,2896432
1.127726,2707082
1.127724,2948502
1.127723,2863346
1.127724,2821840
1.127723,3004107
1.127725,2757131
1.127724,2941929
1.127724,2984426
1.127724,2797675
1.127724,2990444
1.127724,2811146
1.127724,3098159
1.127725,2777415
1.127724,3040568
1.127724,2930703
1.127725,2779034
1.127724,3017134
1.127726,2615153
1.127724,2870118
1.127723,2974194
1.127723,2996454
1.127724,2891729
1.127726,2802631
1.127725,2825541
1.127725,2837763
1.127724,2954986
1.127726,2581681
1.127724,2938304
1.127725,2716021
1.127723,3145704
